epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,11452.7,0.70844,0.58533,1.04584,0.62303,0.61262,0.60186,0.35533,1.54784,1.66275,1.96358,0.000495291,0.000495291,0.000495291
68,11567.2,0.68244,0.5667,1.05646,0.66616,0.59033,0.60454,0.36933,1.56771,1.73494,1.95933,0.000481144,0.000481144,0.000481144
69,11702.2,0.69457,0.55186,1.05355,0.73815,0.58461,0.59297,0.35862,1.58527,1.7762,1.94087,0.000466997,0.000466997,0.000466997
70,11838.8,0.65868,0.52773,1.04154,0.74329,0.56487,0.5997,0.36051,1.51538,1.73724,1.91237,0.00045285,0.00045285,0.00045285
71,11978.7,0.6875,0.54239,1.05092,0.77499,0.52838,0.56767,0.35483,1.48553,1.66904,1.91783,0.000438703,0.000438703,0.000438703
72,12118.6,0.6472,0.52732,1.02724,0.6993,0.56985,0.58179,0.35932,1.49121,1.75369,1.90999,0.000424556,0.000424556,0.000424556
73,12257.9,0.65091,0.5219,1.03271,0.69316,0.55875,0.56749,0.3642,1.52013,1.80945,1.88908,0.000410409,0.000410409,0.000410409
74,12397.7,0.62512,0.50621,1.00456,0.62882,0.5135,0.56423,0.37133,1.45706,1.78978,1.80683,0.000396262,0.000396262,0.000396262
75,12536.1,0.62241,0.51923,1.02723,0.65569,0.568,0.59054,0.38501,1.44681,1.67152,1.86325,0.000382115,0.000382115,0.000382115
76,12667.5,0.62728,0.5178,1.00941,0.80682,0.58643,0.6381,0.39009,1.49474,1.60683,1.95486,0.000367967,0.000367967,0.000367967
